customer_id,first_name,email,city,signup_date
1,Customer1,customer1@example.com,Abu Dhabi,2025-09-22 17:14:47.542946
2,Customer2,customer2@example.com,Ajman,2025-11-21 17:14:47.542968
3,Customer3,customer3@example.com,Abu Dhabi,2026-02-21 17:14:47.542973
4,Customer4,customer4@example.com,Sharjah,2025-10-09 17:14:47.542977
5,Customer5,customer5@example.com,Dubai,2025-07-22 17:14:47.542982
6,Customer6,customer6@example.com,Abu Dhabi,2026-01-22 17:14:47.542985
7,Customer7,customer7@example.com,Abu Dhabi,2025-05-30 17:14:47.542988
8,Customer8,customer8@example.com,Ajman,2026-03-05 17:14:47.542990
9,Customer9,customer9@example.com,Ajman,2026-03-19 17:14:47.542992
10,Customer10,customer10@example.com,Abu Dhabi,2025-08-14 17:14:47.542994
11,Customer11,customer11@example.com,Dubai,2026-05-01 17:14:47.542996
12,Customer12,customer12@example.com,Abu Dhabi,2025-11-28 17:14:47.542998
13,Customer13,customer13@example.com,Abu Dhabi,2026-01-14 17:14:47.543000
14,Customer14,customer14@example.com,Dubai,2025-05-23 17:14:47.543002
15,Customer15,customer15@example.com,Sharjah,2026-01-03 17:14:47.543004
16,Customer16,customer16@example.com,Ajman,2025-07-31 17:14:47.543015
17,Customer17,customer17@example.com,Abu Dhabi,2025-06-21 17:14:47.543017
18,Customer18,customer18@example.com,Dubai,2025-12-18 17:14:47.543019
19,Customer19,customer19@example.com,Abu Dhabi,2025-07-12 17:14:47.543021
20,Customer20,customer20@example.com,Ajman,2026-02-20 17:14:47.543023
21,Customer21,customer21@example.com,Dubai,2025-07-07 17:14:47.543024
22,Customer22,customer22@example.com,Dubai,2025-12-20 17:14:47.543026
23,Customer23,customer23@example.com,Dubai,2026-01-21 17:14:47.543028
24,Customer24,customer24@example.com,Abu Dhabi,2025-12-09 17:14:47.543030
25,Customer25,customer25@example.com,Sharjah,2025-09-06 17:14:47.543032
26,Customer26,customer26@example.com,Abu Dhabi,2026-02-24 17:14:47.543034
27,Customer27,customer27@example.com,Sharjah,2025-06-20 17:14:47.543036
28,Customer28,customer28@example.com,Ajman,2025-08-13 17:14:47.543038
29,Customer29,customer29@example.com,Ajman,2025-06-26 17:14:47.543040
30,Customer30,customer30@example.com,Sharjah,2025-06-23 17:14:47.543041
31,Customer31,customer31@example.com,Abu Dhabi,2025-10-01 17:14:47.543043
32,Customer32,customer32@example.com,Abu Dhabi,2026-03-12 17:14:47.543045
33,Customer33,customer33@example.com,Abu Dhabi,2025-12-06 17:14:47.543047
34,Customer34,customer34@example.com,Abu Dhabi,2025-07-12 17:14:47.543049
35,Customer35,customer35@example.com,Sharjah,2025-12-15 17:14:47.543051
36,Customer36,customer36@example.com,Abu Dhabi,2025-12-27 17:14:47.543053
37,Customer37,customer37@example.com,Dubai,2025-08-09 17:14:47.543055
38,Customer38,customer38@example.com,Dubai,2026-01-27 17:14:47.543057
39,Customer39,customer39@example.com,Dubai,2025-05-27 17:14:47.543059
40,Customer40,customer40@example.com,Abu Dhabi,2026-03-19 17:14:47.543061
41,Customer41,customer41@example.com,Abu Dhabi,2025-12-12 17:14:47.543062
42,Customer42,customer42@example.com,Ajman,2026-03-26 17:14:47.543064
43,Customer43,customer43@example.com,Dubai,2025-11-25 17:14:47.543066
44,Customer44,customer44@example.com,Sharjah,2026-03-06 17:14:47.543067
45,Customer45,customer45@example.com,Sharjah,2026-02-19 17:14:47.543069
46,Customer46,customer46@example.com,Dubai,2025-12-09 17:14:47.543071
47,Customer47,customer47@example.com,Sharjah,2026-01-27 17:14:47.543073
48,Customer48,customer48@example.com,Sharjah,2025-06-14 17:14:47.543075
49,Customer49,customer49@example.com,Ajman,2026-04-07 17:14:47.543076
50,Customer50,customer50@example.com,Dubai,2025-10-27 17:14:47.543078
51,Customer51,customer51@example.com,Ajman,2026-03-31 17:14:47.543080
52,Customer52,customer52@example.com,Dubai,2026-05-05 17:14:47.543082
53,Customer53,customer53@example.com,Dubai,2025-05-24 17:14:47.543084
54,Customer54,customer54@example.com,Abu Dhabi,2026-02-19 17:14:47.543086
55,Customer55,customer55@example.com,Ajman,2026-01-25 17:14:47.543088
56,Customer56,customer56@example.com,Ajman,2025-10-24 17:14:47.543089
57,Customer57,customer57@example.com,Ajman,2025-09-28 17:14:47.543091
58,Customer58,customer58@example.com,Abu Dhabi,2026-04-30 17:14:47.543093
59,Customer59,customer59@example.com,Abu Dhabi,2025-07-27 17:14:47.543095
60,Customer60,customer60@example.com,Dubai,2025-07-06 17:14:47.543097
61,Customer61,customer61@example.com,Abu Dhabi,2025-12-14 17:14:47.543100
62,Customer62,customer62@example.com,Ajman,2026-03-09 17:14:47.543102
63,Customer63,customer63@example.com,Dubai,2026-02-20 17:14:47.543105
64,Customer64,customer64@example.com,Ajman,2026-04-17 17:14:47.543108
65,Customer65,customer65@example.com,Ajman,2026-03-20 17:14:47.543111
66,Customer66,customer66@example.com,Abu Dhabi,2026-04-13 17:14:47.543114
67,Customer67,customer67@example.com,Sharjah,2025-11-17 17:14:47.543116
68,Customer68,customer68@example.com,Ajman,2025-06-04 17:14:47.543118
69,Customer69,customer69@example.com,Sharjah,2025-08-11 17:14:47.543120
70,Customer70,customer70@example.com,Ajman,2025-11-20 17:14:47.543122
71,Customer71,customer71@example.com,Sharjah,2026-03-12 17:14:47.543123
72,Customer72,customer72@example.com,Ajman,2025-07-30 17:14:47.543125
73,Customer73,customer73@example.com,Abu Dhabi,2026-03-21 17:14:47.543127
74,Customer74,customer74@example.com,Dubai,2026-02-19 17:14:47.543129
75,Customer75,customer75@example.com,Dubai,2025-10-27 17:14:47.543131
